langpair	system	metric	segmenter	manual	realigned	delta
en-es	NVIDIA-NeMo	bleu	spm64k	43.4478	43.4043	-0.0435
en-es	NVIDIA-NeMo	chrfpp	spm64k	63.7342	63.6528	-0.0814
en-es	NVIDIA-NeMo	bleu	spm128k	43.4478	43.4087	-0.0391
en-es	NVIDIA-NeMo	chrfpp	spm128k	63.7342	63.6690	-0.0652
en-es	NVIDIA-NeMo	bleu	spm256k	43.4478	43.3999	-0.0479
en-es	NVIDIA-NeMo	chrfpp	spm256k	63.7342	63.6625	-0.0717
en-es	Occiglot	bleu	none	30.9230	30.7021	-0.2209
en-es	Occiglot	chrfpp	none	52.0285	51.8054	-0.2231
en-es	Occiglot	bleu	flores200	30.9230	30.8341	-0.0889
en-es	Occiglot	chrfpp	flores200	52.0285	51.9699	-0.0586
en-es	Occiglot	bleu	spm32k	30.9230	30.8260	-0.0970
en-es	Occiglot	chrfpp	spm32k	52.0285	51.9704	-0.0581
en-es	Occiglot	bleu	spm64k	30.9230	30.8305	-0.0925
en-es	Occiglot	chrfpp	spm64k	52.0285	51.9455	-0.0830
en-es	Occiglot	bleu	spm128k	30.9230	30.8152	-0.1077
en-es	Occiglot	chrfpp	spm128k	52.0285	51.9407	-0.0878
en-es	Occiglot	bleu	spm256k	30.9230	30.8045	-0.1185
en-es	Occiglot	chrfpp	spm256k	52.0285	51.9231	-0.1054
en-es	TranssionMT	bleu	none	50.4826	50.4137	-0.0689
en-es	TranssionMT	chrfpp	none	67.7690	67.6373	-0.1317
en-es	TranssionMT	bleu	flores200	50.4826	50.4713	-0.0112
en-es	TranssionMT	chrfpp	flores200	67.7690	67.7327	-0.0363
en-es	TranssionMT	bleu	spm32k	50.4826	50.4727	-0.0099
en-es	TranssionMT	chrfpp	spm32k	67.7690	67.7343	-0.0347
en-es	TranssionMT	bleu	spm64k	50.4826	50.4699	-0.0127
en-es	TranssionMT	chrfpp	spm64k	67.7690	67.7218	-0.0472
en-es	TranssionMT	bleu	spm128k	50.4826	50.4637	-0.0189
en-es	TranssionMT	chrfpp	spm128k	67.7690	67.7216	-0.0474
en-es	TranssionMT	bleu	spm256k	50.4826	50.4526	-0.0300
en-es	TranssionMT	chrfpp	spm256k	67.7690	67.7092	-0.0599
en-es	TSU-HITs	bleu	none	16.0227	15.7448	-0.2779
en-es	TSU-HITs	chrfpp	none	39.3295	38.7697	-0.5597
en-es	TSU-HITs	bleu	flores200	16.0227	15.8981	-0.1246
en-es	TSU-HITs	chrfpp	flores200	39.3295	38.9714	-0.3580
en-es	TSU-HITs	bleu	spm32k	16.0227	15.9546	-0.0681
en-es	TSU-HITs	chrfpp	spm32k	39.3295	39.0107	-0.3188
en-es	TSU-HITs	bleu	spm64k	16.0227	15.9256	-0.0971
en-es	TSU-HITs	chrfpp	spm64k	39.3295	38.9731	-0.3564
en-es	TSU-HITs	bleu	spm128k	16.0227	15.8891	-0.1336
en-es	TSU-HITs	chrfpp	spm128k	39.3295	38.9658	-0.3637
en-es	TSU-HITs	bleu	spm256k	16.0227	15.8703	-0.1524
en-es	TSU-HITs	chrfpp	spm256k	39.3295	38.9770	-0.3525
en-es	Unbabel-Tower70B	bleu	none	39.8154	39.6914	-0.1240
en-es	Unbabel-Tower70B	chrfpp	none	60.4472	60.2664	-0.1808
en-es	Unbabel-Tower70B	bleu	flores200	39.8154	39.7917	-0.0237
en-es	Unbabel-Tower70B	chrfpp	flores200	60.4472	60.3939	-0.0533
en-es	Unbabel-Tower70B	bleu	spm32k	39.8154	39.7836	-0.0317
en-es	Unbabel-Tower70B	chrfpp	spm32k	60.4472	60.3977	-0.0496
en-es	Unbabel-Tower70B	bleu	spm64k	39.8154	39.7885	-0.0268
en-es	Unbabel-Tower70B	chrfpp	spm64k	60.4472	60.3988	-0.0485
en-es	Unbabel-Tower70B	bleu	spm128k	39.8154	39.7826	-0.0327
en-es	Unbabel-Tower70B	chrfpp	spm128k	60.4472	60.3871	-0.0602
en-es	Unbabel-Tower70B	bleu	spm256k	39.8154	39.7839	-0.0314
en-es	Unbabel-Tower70B	chrfpp	spm256k	60.4472	60.3861	-0.0611
en-es	Aya23	bleu	none	44.9997	44.9057	-0.0940
en-es	Aya23	chrfpp	none	63.9815	63.8404	-0.1411
en-es	Aya23	bleu	flores200	44.9997	44.9895	-0.0103
en-es	Aya23	chrfpp	flores200	63.9815	63.9493	-0.0322
en-es	Aya23	bleu	spm32k	44.9997	44.9819	-0.0178
en-es	Aya23	chrfpp	spm32k	63.9815	63.9299	-0.0516
en-es	Aya23	bleu	spm64k	44.9997	44.9881	-0.0116
en-es	Aya23	chrfpp	spm64k	63.9815	63.9437	-0.0378
en-es	Aya23	bleu	spm128k	44.9997	44.9878	-0.0119
en-es	Aya23	chrfpp	spm128k	63.9815	63.9480	-0.0335
en-es	Aya23	bleu	spm256k	44.9997	44.9865	-0.0133
en-es	Aya23	chrfpp	spm256k	63.9815	63.9432	-0.0383
en-es	CommandR-plus	bleu	none	46.0985	45.9666	-0.1319
en-es	CommandR-plus	chrfpp	none	64.6430	64.4645	-0.1785
en-es	CommandR-plus	bleu	flores200	46.0985	46.0828	-0.0158
en-es	CommandR-plus	chrfpp	flores200	64.6430	64.6120	-0.0310
en-es	CommandR-plus	bleu	spm32k	46.0985	46.0625	-0.0360
en-es	CommandR-plus	chrfpp	spm32k	64.6430	64.5959	-0.0470
en-es	CommandR-plus	bleu	spm64k	46.0985	46.0732	-0.0254
en-es	CommandR-plus	chrfpp	spm64k	64.6430	64.5992	-0.0438
en-es	CommandR-plus	bleu	spm128k	46.0985	46.0768	-0.0217
en-es	CommandR-plus	chrfpp	spm128k	64.6430	64.6074	-0.0356
en-es	CommandR-plus	bleu	spm256k	46.0985	46.0703	-0.0282
en-es	CommandR-plus	chrfpp	spm256k	64.6430	64.5921	-0.0508
en-es	ONLINE-W	bleu	none	55.6227	55.5692	-0.0535
en-es	ONLINE-W	chrfpp	none	70.8622	70.7683	-0.0940
en-es	ONLINE-W	bleu	flores200	55.6227	55.5919	-0.0308
en-es	ONLINE-W	chrfpp	flores200	70.8622	70.8046	-0.0577
en-es	ONLINE-W	bleu	spm32k	55.6227	55.5991	-0.0236
en-es	ONLINE-W	chrfpp	spm32k	70.8622	70.8247	-0.0375
en-es	ONLINE-W	bleu	spm64k	55.6227	55.5948	-0.0279
en-es	ONLINE-W	chrfpp	spm64k	70.8622	70.8095	-0.0527
en-es	ONLINE-W	bleu	spm128k	55.6227	55.5934	-0.0293
en-es	ONLINE-W	chrfpp	spm128k	70.8622	70.8132	-0.0490
en-es	ONLINE-W	bleu	spm256k	55.6227	55.5941	-0.0286
en-es	ONLINE-W	chrfpp	spm256k	70.8622	70.8216	-0.0407
en-es	ONLINE-B	bleu	none	49.2426	49.1617	-0.0809
en-es	ONLINE-B	chrfpp	none	66.8191	66.6845	-0.1346
