langpair	system	metric	segmenter	manual	realigned	delta
en-is	TranssionMT	chrfpp	spm64k	45.2994	45.2187	-0.0807
en-is	TranssionMT	bleu	spm128k	26.5649	26.5238	-0.0410
en-is	TranssionMT	chrfpp	spm128k	45.2994	45.2344	-0.0650
en-is	TranssionMT	bleu	spm256k	26.5649	26.5308	-0.0341
en-is	TranssionMT	chrfpp	spm256k	45.2994	45.2324	-0.0671
en-is	TSU-HITs	bleu	none	2.8815	2.6617	-0.2199
en-is	TSU-HITs	chrfpp	none	17.5680	16.8695	-0.6984
en-is	TSU-HITs	bleu	flores200	2.8815	2.7725	-0.1090
en-is	TSU-HITs	chrfpp	flores200	17.5680	17.1052	-0.4628
en-is	TSU-HITs	bleu	spm32k	2.8815	2.8061	-0.0755
en-is	TSU-HITs	chrfpp	spm32k	17.5680	17.0907	-0.4773
en-is	TSU-HITs	bleu	spm64k	2.8815	2.8220	-0.0595
en-is	TSU-HITs	chrfpp	spm64k	17.5680	17.2010	-0.3670
en-is	TSU-HITs	bleu	spm128k	2.8815	2.8109	-0.0706
en-is	TSU-HITs	chrfpp	spm128k	17.5680	17.1678	-0.4002
en-is	TSU-HITs	bleu	spm256k	2.8815	2.8043	-0.0772
en-is	TSU-HITs	chrfpp	spm256k	17.5680	17.1734	-0.3945
en-is	Unbabel-Tower70B	bleu	none	26.2105	26.0297	-0.1808
en-is	Unbabel-Tower70B	chrfpp	none	44.6256	44.3809	-0.2446
en-is	Unbabel-Tower70B	bleu	flores200	26.2105	26.1754	-0.0352
en-is	Unbabel-Tower70B	chrfpp	flores200	44.6256	44.5666	-0.0590
en-is	Unbabel-Tower70B	bleu	spm32k	26.2105	26.1656	-0.0450
en-is	Unbabel-Tower70B	chrfpp	spm32k	44.6256	44.5481	-0.0775
en-is	Unbabel-Tower70B	bleu	spm64k	26.2105	26.1683	-0.0422
en-is	Unbabel-Tower70B	chrfpp	spm64k	44.6256	44.5582	-0.0674
en-is	Unbabel-Tower70B	bleu	spm128k	26.2105	26.1559	-0.0547
en-is	Unbabel-Tower70B	chrfpp	spm128k	44.6256	44.5556	-0.0700
en-is	Unbabel-Tower70B	bleu	spm256k	26.2105	26.1673	-0.0432
en-is	Unbabel-Tower70B	chrfpp	spm256k	44.6256	44.5671	-0.0585
en-is	Aya23	bleu	none	9.3257	9.1443	-0.1814
en-is	Aya23	chrfpp	none	28.8762	28.5978	-0.2784
en-is	Aya23	bleu	flores200	9.3257	9.2964	-0.0293
en-is	Aya23	chrfpp	flores200	28.8762	28.8106	-0.0656
en-is	Aya23	bleu	spm32k	9.3257	9.2665	-0.0592
en-is	Aya23	chrfpp	spm32k	28.8762	28.8049	-0.0713
en-is	Aya23	bleu	spm64k	9.3257	9.2849	-0.0408
en-is	Aya23	chrfpp	spm64k	28.8762	28.8251	-0.0511
en-is	Aya23	bleu	spm128k	9.3257	9.2802	-0.0455
en-is	Aya23	chrfpp	spm128k	28.8762	28.8047	-0.0715
en-is	Aya23	bleu	spm256k	9.3257	9.2881	-0.0376
en-is	Aya23	chrfpp	spm256k	28.8762	28.8028	-0.0734
en-is	CommandR-plus	bleu	none	13.9020	13.7339	-0.1681
en-is	CommandR-plus	chrfpp	none	34.4862	34.1968	-0.2894
en-is	CommandR-plus	bleu	flores200	13.9020	13.8855	-0.0165
en-is	CommandR-plus	chrfpp	flores200	34.4862	34.4321	-0.0541
en-is	CommandR-plus	bleu	spm32k	13.9020	13.8612	-0.0408
en-is	CommandR-plus	chrfpp	spm32k	34.4862	34.4195	-0.0667
en-is	CommandR-plus	bleu	spm64k	13.9020	13.8622	-0.0399
en-is	CommandR-plus	chrfpp	spm64k	34.4862	34.4313	-0.0549
en-is	CommandR-plus	bleu	spm128k	13.9020	13.8741	-0.0280
en-is	CommandR-plus	chrfpp	spm128k	34.4862	34.4396	-0.0467
en-is	CommandR-plus	bleu	spm256k	13.9020	13.8655	-0.0365
en-is	CommandR-plus	chrfpp	spm256k	34.4862	34.4361	-0.0501
en-is	ONLINE-empty	bleu	none	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	none	0.0000	0.0000	0.0000
en-is	ONLINE-empty	bleu	flores200	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	flores200	0.0000	0.0000	0.0000
en-is	ONLINE-empty	bleu	spm32k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	spm32k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	bleu	spm64k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	spm64k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	bleu	spm128k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	spm128k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	bleu	spm256k	0.0000	0.0000	0.0000
en-is	ONLINE-empty	chrfpp	spm256k	0.0000	0.0000	0.0000
en-is	ONLINE-B	bleu	none	26.5868	26.3635	-0.2233
en-is	ONLINE-B	chrfpp	none	45.2279	44.9397	-0.2882
en-is	ONLINE-B	bleu	flores200	26.5868	26.5550	-0.0318
en-is	ONLINE-B	chrfpp	flores200	45.2279	45.1447	-0.0832
en-is	ONLINE-B	bleu	spm32k	26.5868	26.5310	-0.0558
en-is	ONLINE-B	chrfpp	spm32k	45.2279	45.1393	-0.0887
en-is	ONLINE-B	bleu	spm64k	26.5868	26.5401	-0.0467
en-is	ONLINE-B	chrfpp	spm64k	45.2279	45.1559	-0.0721
en-is	ONLINE-B	bleu	spm128k	26.5868	26.5501	-0.0367
en-is	ONLINE-B	chrfpp	spm128k	45.2279	45.1653	-0.0627
en-is	ONLINE-B	bleu	spm256k	26.5868	26.5490	-0.0378
