label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
fixed	en-de	ONLINE-W	none	1	993	785	997	626	32497	32.595	4	8582	264324951	2.172
fixed	en-de	ONLINE-B	none	1	993	812	997	675	31990	32.086	4	8566	256293516	2.126
fixed	en-de	Llama3-70B	none	1	993	766	997	599	32112	32.209	4	8512	258118262	2.125
fixed	en-de	ONLINE-A	none	1	993	780	997	622	32331	32.428	4	8489	261568035	2.133
fixed	en-de	ONLINE-G	none	1	993	764	997	602	31912	32.008	4	8411	254856526	2.125
fixed	en-de	Gemini-1.5-Pro	none	1	993	805	997	664	33241	33.341	4	9321	277681343	2.197
fixed	en-de	Mistral-Large	none	1	993	765	997	607	33285	33.385	4	9060	277731909	2.209
fixed	en-de	Claude-3.5	none	1	993	803	997	667	32651	32.749	4	8788	267067075	2.192
fixed	en-de	GPT-4	none	1	993	783	997	634	32329	32.426	4	8659	261771319	2.171
fixed	en-de	Phi-3-Medium	none	1	993	742	997	572	32434	32.532	4	8606	263333172	2.343
fixed	en-es	CycleL	none	1	993	278	997	116	27628	27.711	4	8730	195491312	2.314
fixed	en-es	Dubformer	none	1	993	896	997	811	32444	32.542	4	8706	264003306	2.291
fixed	en-es	IKUN	none	1	993	802	997	647	33631	33.732	4	9275	284112803	2.371
fixed	en-es	IKUN-C	none	1	993	807	997	665	33267	33.367	4	9239	278197353	2.317
fixed	en-es	IOL-Research	none	1	993	875	997	777	33869	33.971	4	9418	288405839	2.387
fixed	en-es	MSLC	none	1	993	776	997	624	34833	34.938	4	9571	304633005	2.382
fixed	en-es	NVIDIA-NeMo	none	1	993	774	997	622	34850	34.955	4	9283	304972566	2.425
fixed	en-es	Occiglot	none	1	993	672	997	469	33803	33.905	4	9935	289727539	2.378
fixed	en-es	TranssionMT	none	1	993	887	997	793	34753	34.858	4	9575	303399931	2.417
fixed	en-es	TSU-HITs	none	1	993	537	997	312	21272	21.336	4	6743	116854180	1.709
fixed	en-es	Unbabel-Tower70B	none	1	993	803	997	667	35099	35.205	4	9612	309678721	2.449
fixed	en-es	Aya23	none	1	993	864	997	759	34168	34.271	4	9454	293382822	2.372
fixed	en-es	CommandR-plus	none	1	993	835	997	710	34688	34.792	4	9536	302497218	2.402
fixed	en-es	ONLINE-W	none	1	993	915	997	843	33783	33.885	4	9321	286699427	2.387
fixed	en-es	ONLINE-B	none	1	993	878	997	777	33745	33.847	4	9323	286076045	2.401
fixed	en-es	Llama3-70B	none	1	993	858	997	750	34448	34.552	4	9348	297931336	2.392
fixed	en-es	ONLINE-A	none	1	993	890	997	800	34587	34.691	4	9542	300492815	2.408
fixed	en-es	ONLINE-G	none	1	993	830	997	696	34057	34.159	4	9302	291299341	2.364
