label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm	cs-uk	BJFU-LPT	spm	1	2311	1530	2316	1066	24742	10.683	5	6254	128749056	5.15
spm	cs-uk	CUNI-Transformer	spm	1	2311	2126	2316	1960	28738	12.408	5	6854	169538818	5.488
spm	cs-uk	CycleL	spm	1	2311	364	2316	34	22513	9.721	5	6142	105763111	5.54
spm	cs-uk	IKUN	spm	1	2311	2108	2316	1938	28871	12.466	5	6855	171006579	5.526
spm	cs-uk	IKUN-C	spm	1	2311	2053	2316	1857	24802	10.709	5	6678	127648154	4.793
spm	cs-uk	IOL-Research	spm	1	2311	2122	2316	1974	28785	12.429	5	6831	169991221	5.292
spm	cs-uk	TranssionMT	spm	1	2311	2104	2316	1941	28543	12.324	5	6787	167309007	5.205
spm	cs-uk	Unbabel-Tower70B	spm	1	2311	2126	2316	1971	29942	12.928	5	7054	183685608	5.505
spm	cs-uk	Aya23	spm	1	2311	2111	2316	1954	29078	12.555	5	6874	173153986	5.483
spm	cs-uk	CommandR-plus	spm	1	2311	2102	2316	1929	29355	12.675	5	6996	176789167	5.427
spm	cs-uk	ONLINE-W	spm	1	2311	2110	2316	1951	29050	12.543	5	6939	173361180	5.415
spm	cs-uk	ONLINE-B	spm	1	2311	2107	2316	1946	28565	12.334	5	6789	167574371	5.337
spm	cs-uk	Llama3-70B	spm	1	2311	2102	2316	1935	28874	12.467	5	6902	171018514	5.382
spm	cs-uk	ONLINE-A	spm	1	2311	2044	2316	1832	29383	12.687	5	6942	177167997	5.504
spm	cs-uk	ONLINE-G	spm	1	2311	2072	2316	1879	29481	12.729	5	7022	178192527	5.505
spm	cs-uk	Gemini-1.5-Pro	spm	1	2311	2083	2316	1917	34431	14.867	5	10963	260032261	6.615
spm	cs-uk	Mistral-Large	spm	1	2311	2082	2316	1896	30563	13.196	5	7686	192684373	5.737
spm	cs-uk	Claude-3.5	spm	1	2311	2157	2316	2038	29655	12.804	5	6964	180282593	5.454
spm	cs-uk	GPT-4	spm	1	2311	2126	2316	1974	29339	12.668	5	6937	176308069	5.36
spm	cs-uk	Phi-3-Medium	spm	1	2311	2008	2316	1769	30439	13.143	5	7821	192392763	5.9
spm	en-cs	CUNI-DocTransformer	spm	1	993	885	997	799	28138	28.223	4	7378	198199138	7.452
spm	en-cs	CUNI-GA	spm	1	993	805	997	660	28976	29.063	4	7829	210451926	7.423
spm	en-cs	CUNI-MH	spm	1	993	881	997	793	29298	29.386	4	7705	215185126	7.474
spm	en-cs	CUNI-Transformer	spm	1	993	898	997	819	27808	27.892	4	7317	193654510	7.234
spm	en-cs	CycleL	spm	1	993	251	997	88	28803	28.89	4	8719	210558891	8.109
spm	en-cs	CycleL2	spm	1	993	610	997	407	27860	27.944	4	7696	194811216	7.616
spm	en-cs	IKUN	spm	1	993	814	997	676	27884	27.968	4	7395	194785782	7.163
spm	en-cs	IKUN-C	spm	1	993	850	997	732	27267	27.349	4	7242	186214481	7.182
spm	en-cs	IOL-Research	spm	1	993	887	997	804	27875	27.959	4	7358	194620245	7.219
spm	en-cs	NVIDIA-NeMo	spm	1	993	821	997	684	28224	28.309	4	7739	199851298	7.25
spm	en-cs	SCIR-MT	spm	1	993	854	997	744	28283	28.368	4	7605	200597799	7.317
spm	en-cs	TranssionMT	spm	1	993	881	997	783	28649	28.735	4	7586	205572921	7.417
spm	en-cs	TSU-HITs	spm	1	993	332	997	129	18495	18.551	4	5445	86798859	5.346
spm	en-cs	Unbabel-Tower70B	spm	1	993	877	997	782	28678	28.764	4	7792	206349402	7.704
spm	en-cs	Aya23	spm	1	993	876	997	780	28132	28.217	4	7431	198277494	7.495
spm	en-cs	CommandR-plus	spm	1	993	883	997	787	28674	28.76	4	7639	206015932	7.691
spm	en-cs	ONLINE-W	spm	1	993	891	997	802	28259	28.344	4	7413	199994799	7.552
spm	en-cs	ONLINE-B	spm	1	993	889	997	799	27715	27.798	4	7287	192343073	7.541
spm	en-cs	Llama3-70B	spm	1	993	880	997	790	28244	28.329	4	7679	200037684	7.656
spm	en-cs	ONLINE-A	spm	1	993	880	997	783	28441	28.527	4	7479	202563267	7.486
spm	en-cs	ONLINE-G	spm	1	993	880	997	787	27595	27.678	4	7389	190843371	7.186
spm	en-cs	Gemini-1.5-Pro	spm	1	993	863	997	771	31991	32.087	4	10764	266259225	8.067
spm	en-cs	Mistral-Large	spm	1	993	880	997	791	29228	29.316	4	8123	214535490	7.513
spm	en-cs	Claude-3.5	spm	1	993	892	997	814	28343	28.428	4	7742	201613657	7.286
spm	en-cs	GPT-4	spm	1	993	896	997	814	28062	28.146	4	7491	197333990	7.358
spm	en-cs	Phi-3-Medium	spm	1	993	783	997	608	29860	29.95	4	8207	224426588	7.867
spm	en-de	AIST-AIRC	spm	1	993	853	997	746	31031	31.124	4	8132	240918625	4.992
spm	en-de	CUNI-NL	spm	1	993	828	997	699	29483	29.572	4	7911	217833675	4.659
spm	en-de	CycleL	spm	1	993	671	997	486	29189	29.277	4	8238	214205105	4.959
spm	en-de	CycleL2	spm	1	993	671	997	486	29189	29.277	4	8238	214205105	5.254
spm	en-de	Dubformer	spm	1	993	879	997	796	30908	31.001	4	8317	239291922	5.103
spm	en-de	IKUN	spm	1	993	833	997	716	31954	32.05	4	8475	255596858	5.088
spm	en-de	IKUN-C	spm	1	993	857	997	756	31741	31.837	4	8343	252139811	5.088
spm	en-de	IOL-Research	spm	1	993	877	997	789	32024	32.12	4	8435	256651446	4.899
spm	en-de	MSLC	spm	1	993	823	997	688	31581	31.676	4	8173	249455675	4.94
spm	en-de	NVIDIA-NeMo	spm	1	993	807	997	676	32163	32.26	4	8739	259278179	4.848
spm	en-de	Occiglot	spm	1	993	725	997	494	31337	31.431	4	9646	249909039	5.035
spm	en-de	TranssionMT	spm	1	993	896	997	825	31997	32.093	4	8581	256424027	4.905
spm	en-de	TSU-HITs	spm	1	993	630	997	433	22481	22.549	4	6031	126660015	3.908
spm	en-de	Unbabel-Tower70B	spm	1	993	885	997	803	32362	32.459	4	8766	262475290	4.924
spm	en-de	Aya23	spm	1	993	878	997	788	32438	32.536	4	8591	263389626	4.978
spm	en-de	CommandR-plus	spm	1	993	888	997	806	32878	32.977	4	8769	270661722	5.018
spm	en-de	ONLINE-W	spm	1	993	876	997	789	32497	32.595	4	8582	264324951	4.95
spm	en-de	ONLINE-B	spm	1	993	893	997	819	31990	32.086	4	8566	256293516	4.909
spm	en-de	Llama3-70B	spm	1	993	874	997	789	32112	32.209	4	8512	258118262	5.004
spm	en-de	ONLINE-A	spm	1	993	877	997	794	32331	32.428	4	8489	261568035	4.925
spm	en-de	ONLINE-G	spm	1	993	868	997	776	31912	32.008	4	8411	254856526	4.92
spm	en-de	Gemini-1.5-Pro	spm	1	993	877	997	785	33241	33.341	4	9321	277681343	5.114
spm	en-de	Mistral-Large	spm	1	993	873	997	789	33285	33.385	4	9060	277731909	5.036
spm	en-de	Claude-3.5	spm	1	993	866	997	773	32651	32.749	4	8788	267067075	5.02
spm	en-de	GPT-4	spm	1	993	880	997	793	32329	32.426	4	8659	261771319	5.082
spm	en-de	Phi-3-Medium	spm	1	993	873	997	776	32434	32.532	4	8606	263333172	5.003
spm	en-es	CycleL	spm	1	993	469	997	348	27628	27.711	4	8730	195491312	5.848
spm	en-es	Dubformer	spm	1	993	943	997	900	32444	32.542	4	8706	264003306	4.678
spm	en-es	IKUN	spm	1	993	871	997	780	33631	33.732	4	9275	284112803	4.769
spm	en-es	IKUN-C	spm	1	993	892	997	811	33267	33.367	4	9239	278197353	4.716
spm	en-es	IOL-Research	spm	1	993	925	997	868	33869	33.971	4	9418	288405839	4.879
spm	en-es	MSLC	spm	1	993	878	997	791	34833	34.938	4	9571	304633005	4.882
spm	en-es	NVIDIA-NeMo	spm	1	993	892	997	810	34850	34.955	4	9283	304972566	4.823
spm	en-es	Occiglot	spm	1	993	748	997	587	33803	33.905	4	9935	289727539	4.869
spm	en-es	TranssionMT	spm	1	993	930	997	877	34753	34.858	4	9575	303399931	4.911
spm	en-es	TSU-HITs	spm	1	993	605	997	377	21272	21.336	4	6743	116854180	3.277
spm	en-es	Unbabel-Tower70B	spm	1	993	899	997	817	35099	35.205	4	9612	309678721	4.97
spm	en-es	Aya23	spm	1	993	928	997	875	34168	34.271	4	9454	293382822	4.855
spm	en-es	CommandR-plus	spm	1	993	925	997	865	34688	34.792	4	9536	302497218	4.902
spm	en-es	ONLINE-W	spm	1	993	935	997	885	33783	33.885	4	9321	286699427	4.832
spm	en-es	ONLINE-B	spm	1	993	936	997	886	33745	33.847	4	9323	286076045	4.898
spm	en-es	Llama3-70B	spm	1	993	931	997	877	34448	34.552	4	9348	297931336	4.912
spm	en-es	ONLINE-A	spm	1	993	926	997	873	34587	34.691	4	9542	300492815	4.869
spm	en-es	ONLINE-G	spm	1	993	929	997	872	34057	34.159	4	9302	291299341	4.85
spm	en-es	Gemini-1.5-Pro	spm	1	993	908	997	833	37588	37.701	4	12117	364703786	5.45
spm	en-es	Mistral-Large	spm	1	993	931	997	876	34991	35.096	4	9467	307694403	4.936
spm	en-es	Claude-3.5	spm	1	993	936	997	889	34799	34.904	4	9393	304080967	4.935
spm	en-es	GPT-4	spm	1	993	933	997	882	34305	34.408	4	9396	295590843	4.848
spm	en-es	Phi-3-Medium	spm	1	993	917	997	853	34344	34.447	4	9462	296404466	4.872
spm	en-hi	CycleL	spm	1	993	233	997	81	36430	36.54	4	10462	334258558	8.087
