variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	en-de	Unbabel-Tower70B	none	1	997	32362	32.459	4	8766	262475290	2.263
legacy_none	legacy (none)	en-de	Aya23	none	1	997	32438	32.536	4	8591	263389626	2.244
legacy_none	legacy (none)	en-de	CommandR-plus	none	1	997	32878	32.977	4	8769	270661722	2.235
legacy_none	legacy (none)	en-de	ONLINE-W	none	1	997	32497	32.595	4	8582	264324951	2.092
legacy_none	legacy (none)	en-de	ONLINE-B	none	1	997	31990	32.086	4	8566	256293516	2.211
legacy_none	legacy (none)	en-de	Llama3-70B	none	1	997	32112	32.209	4	8512	258118262	2.144
legacy_none	legacy (none)	en-de	ONLINE-A	none	1	997	32331	32.428	4	8489	261568035	2.099
legacy_none	legacy (none)	en-de	ONLINE-G	none	1	997	31912	32.008	4	8411	254856526	2.121
legacy_none	legacy (none)	en-de	Gemini-1.5-Pro	none	1	997	33241	33.341	4	9321	277681343	2.28
legacy_none	legacy (none)	en-de	Mistral-Large	none	1	997	33285	33.385	4	9060	277731909	2.272
legacy_none	legacy (none)	en-de	Claude-3.5	none	1	997	32651	32.749	4	8788	267067075	2.26
legacy_none	legacy (none)	en-de	GPT-4	none	1	997	32329	32.426	4	8659	261771319	2.136
legacy_none	legacy (none)	en-de	Phi-3-Medium	none	1	997	32434	32.532	4	8606	263333172	2.284
legacy_none	legacy (none)	en-es	CycleL	none	1	997	27628	27.711	4	8730	195491312	2.126
legacy_none	legacy (none)	en-es	Dubformer	none	1	997	32444	32.542	4	8706	264003306	2.205
legacy_none	legacy (none)	en-es	IKUN	none	1	997	33631	33.732	4	9275	284112803	2.477
legacy_none	legacy (none)	en-es	IKUN-C	none	1	997	33267	33.367	4	9239	278197353	2.31
legacy_none	legacy (none)	en-es	IOL-Research	none	1	997	33869	33.971	4	9418	288405839	2.296
legacy_none	legacy (none)	en-es	MSLC	none	1	997	34833	34.938	4	9571	304633005	2.407
legacy_none	legacy (none)	en-es	NVIDIA-NeMo	none	1	997	34850	34.955	4	9283	304972566	2.376
legacy_none	legacy (none)	en-es	Occiglot	none	1	997	33803	33.905	4	9935	289727539	2.378
legacy_none	legacy (none)	en-es	TranssionMT	none	1	997	34753	34.858	4	9575	303399931	2.374
legacy_none	legacy (none)	en-es	TSU-HITs	none	1	997	21272	21.336	4	6743	116854180	1.562
legacy_none	legacy (none)	en-es	Unbabel-Tower70B	none	1	997	35099	35.205	4	9612	309678721	2.409
legacy_none	legacy (none)	en-es	Aya23	none	1	997	34168	34.271	4	9454	293382822	2.34
legacy_none	legacy (none)	en-es	CommandR-plus	none	1	997	34688	34.792	4	9536	302497218	2.397
legacy_none	legacy (none)	en-es	ONLINE-W	none	1	997	33783	33.885	4	9321	286699427	2.303
legacy_none	legacy (none)	en-es	ONLINE-B	none	1	997	33745	33.847	4	9323	286076045	2.35
legacy_none	legacy (none)	en-es	Llama3-70B	none	1	997	34448	34.552	4	9348	297931336	2.388
legacy_none	legacy (none)	en-es	ONLINE-A	none	1	997	34587	34.691	4	9542	300492815	2.373
legacy_none	legacy (none)	en-es	ONLINE-G	none	1	997	34057	34.159	4	9302	291299341	2.296
legacy_none	legacy (none)	en-es	Gemini-1.5-Pro	none	1	997	37588	37.701	4	12117	364703786	2.633
legacy_none	legacy (none)	en-es	Mistral-Large	none	1	997	34991	35.096	4	9467	307694403	2.389
legacy_none	legacy (none)	en-es	Claude-3.5	none	1	997	34799	34.904	4	9393	304080967	2.348
legacy_none	legacy (none)	en-es	GPT-4	none	1	997	34305	34.408	4	9396	295590843	2.304
legacy_none	legacy (none)	en-es	Phi-3-Medium	none	1	997	34344	34.447	4	9462	296404466	2.389
legacy_none	legacy (none)	en-hi	CycleL	none	1	997	36430	36.54	4	10462	334258558	3.005
legacy_none	legacy (none)	en-hi	IKUN	none	1	997	26625	26.705	4	9024	185012787	2.188
legacy_none	legacy (none)	en-hi	IKUN-C	none	1	997	32854	32.953	4	9695	275112286	2.596
legacy_none	legacy (none)	en-hi	IOL-Research	none	1	997	37430	37.543	4	9745	350605556	2.795
legacy_none	legacy (none)	en-hi	NVIDIA-NeMo	none	1	997	37892	38.006	4	10094	359535600	2.828
legacy_none	legacy (none)	en-hi	TranssionMT	none	1	997	38154	38.269	4	9936	364220402	2.897
legacy_none	legacy (none)	en-hi	Unbabel-Tower70B	none	1	997	38849	38.966	4	10302	377832105	3.03
legacy_none	legacy (none)	en-hi	Aya23	none	1	997	37267	37.379	4	9722	347564821	2.848
legacy_none	legacy (none)	en-hi	CommandR-plus	none	1	997	38417	38.533	4	10218	369605777	2.984
legacy_none	legacy (none)	en-hi	ONLINE-empty	none	1	997	0	0.0	4	0	0	0.251
legacy_none	legacy (none)	en-hi	ONLINE-B	none	1	997	38161	38.276	4	9944	364364563	2.858
legacy_none	legacy (none)	en-hi	Llama3-70B	none	1	997	36866	36.977	4	9911	340513260	2.891
legacy_none	legacy (none)	en-hi	ONLINE-A	none	1	997	38173	38.288	4	9944	364535765	2.822
legacy_none	legacy (none)	en-hi	ONLINE-G	none	1	997	39575	39.694	4	10463	391986999	2.944
legacy_none	legacy (none)	en-hi	Gemini-1.5-Pro	none	1	997	39028	39.145	4	10685	382033734	2.942
legacy_none	legacy (none)	en-hi	Mistral-Large	none	1	997	41047	41.171	4	11800	425326099	3.037
legacy_none	legacy (none)	en-hi	Claude-3.5	none	1	997	38555	38.671	4	10414	372579887	2.858
legacy_none	legacy (none)	en-hi	Phi-3-Medium	none	1	997	42412	42.54	4	11185	450892174	3.084
legacy_none	legacy (none)	en-is	AMI	none	1	997	31079	31.173	4	8317	241876589	2.477
