label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm128k	en-de	TranssionMT	spm128k	1	993	909	997	834	31997	32.093	4	8581	256424027	5.967
spm128k	en-de	TSU-HITs	spm128k	1	993	615	997	395	22481	22.549	4	6031	126660015	4.599
spm128k	en-de	Unbabel-Tower70B	spm128k	1	993	906	997	831	32362	32.459	4	8766	262475290	5.982
spm128k	en-de	Aya23	spm128k	1	993	893	997	813	32438	32.536	4	8591	263389626	6.016
spm128k	en-de	CommandR-plus	spm128k	1	993	896	997	814	32878	32.977	4	8769	270661722	6.093
spm128k	en-de	ONLINE-W	spm128k	1	993	894	997	813	32497	32.595	4	8582	264324951	5.997
spm128k	en-de	ONLINE-B	spm128k	1	993	909	997	834	31990	32.086	4	8566	256293516	5.955
spm128k	en-de	Llama3-70B	spm128k	1	993	891	997	805	32112	32.209	4	8512	258118262	6.186
spm128k	en-de	ONLINE-A	spm128k	1	993	884	997	802	32331	32.428	4	8489	261568035	5.986
spm128k	en-de	ONLINE-G	spm128k	1	993	875	997	788	31912	32.008	4	8411	254856526	5.928
spm128k	en-de	Gemini-1.5-Pro	spm128k	1	993	901	997	826	33241	33.341	4	9321	277681343	6.195
spm128k	en-de	Mistral-Large	spm128k	1	993	882	997	790	33285	33.385	4	9060	277731909	6.128
spm128k	en-de	Claude-3.5	spm128k	1	993	893	997	812	32651	32.749	4	8788	267067075	6.1
spm128k	en-de	GPT-4	spm128k	1	993	889	997	805	32329	32.426	4	8659	261771319	6.05
spm128k	en-de	Phi-3-Medium	spm128k	1	993	872	997	769	32434	32.532	4	8606	263333172	6.076
spm128k	en-es	CycleL	spm128k	1	993	458	997	321	27628	27.711	4	8730	195491312	6.988
spm128k	en-es	Dubformer	spm128k	1	993	944	997	902	32444	32.542	4	8706	264003306	5.609
spm128k	en-es	IKUN	spm128k	1	993	868	997	771	33631	33.732	4	9275	284112803	5.674
spm128k	en-es	IKUN-C	spm128k	1	993	897	997	822	33267	33.367	4	9239	278197353	5.617
spm128k	en-es	IOL-Research	spm128k	1	993	931	997	877	33869	33.971	4	9418	288405839	5.736
spm128k	en-es	MSLC	spm128k	1	993	882	997	794	34833	34.938	4	9571	304633005	5.822
spm128k	en-es	NVIDIA-NeMo	spm128k	1	993	895	997	816	34850	34.955	4	9283	304972566	5.754
spm128k	en-es	Occiglot	spm128k	1	993	748	997	588	33803	33.905	4	9935	289727539	5.757
spm128k	en-es	TranssionMT	spm128k	1	993	933	997	881	34753	34.858	4	9575	303399931	5.865
spm128k	en-es	TSU-HITs	spm128k	1	993	586	997	359	21272	21.336	4	6743	116854180	3.809
spm128k	en-es	Unbabel-Tower70B	spm128k	1	993	899	997	816	35099	35.205	4	9612	309678721	5.938
spm128k	en-es	Aya23	spm128k	1	993	931	997	878	34168	34.271	4	9454	293382822	5.806
spm128k	en-es	CommandR-plus	spm128k	1	993	928	997	869	34688	34.792	4	9536	302497218	5.88
spm128k	en-es	ONLINE-W	spm128k	1	993	928	997	874	33783	33.885	4	9321	286699427	5.737
spm128k	en-es	ONLINE-B	spm128k	1	993	936	997	887	33745	33.847	4	9323	286076045	5.851
spm128k	en-es	Llama3-70B	spm128k	1	993	939	997	893	34448	34.552	4	9348	297931336	5.85
