label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy	en-de	ONLINE-W	none	1	993	0	997	0	32497	32.595	4	8582	264324951	2.092
legacy	en-de	ONLINE-B	none	1	993	103	997	40	31990	32.086	4	8566	256293516	2.211
legacy	en-de	Llama3-70B	none	1	993	71	997	32	32112	32.209	4	8512	258118262	2.144
legacy	en-de	ONLINE-A	none	1	993	2	997	0	32331	32.428	4	8489	261568035	2.099
legacy	en-de	ONLINE-G	none	1	993	36	997	7	31912	32.008	4	8411	254856526	2.121
legacy	en-de	Gemini-1.5-Pro	none	1	993	99	997	35	33241	33.341	4	9321	277681343	2.28
legacy	en-de	Mistral-Large	none	1	993	56	997	16	33285	33.385	4	9060	277731909	2.272
legacy	en-de	Claude-3.5	none	1	993	39	997	5	32651	32.749	4	8788	267067075	2.26
legacy	en-de	GPT-4	none	1	993	3	997	0	32329	32.426	4	8659	261771319	2.136
legacy	en-de	Phi-3-Medium	none	1	993	19	997	1	32434	32.532	4	8606	263333172	2.284
legacy	en-es	CycleL	none	1	993	29	997	5	27628	27.711	4	8730	195491312	2.126
legacy	en-es	Dubformer	none	1	993	1	997	0	32444	32.542	4	8706	264003306	2.205
legacy	en-es	IKUN	none	1	993	105	997	38	33631	33.732	4	9275	284112803	2.477
legacy	en-es	IKUN-C	none	1	993	5	997	0	33267	33.367	4	9239	278197353	2.31
legacy	en-es	IOL-Research	none	1	993	1	997	0	33869	33.971	4	9418	288405839	2.296
legacy	en-es	MSLC	none	1	993	42	997	4	34833	34.938	4	9571	304633005	2.407
legacy	en-es	NVIDIA-NeMo	none	1	993	1	997	0	34850	34.955	4	9283	304972566	2.376
legacy	en-es	Occiglot	none	1	993	36	997	15	33803	33.905	4	9935	289727539	2.378
legacy	en-es	TranssionMT	none	1	993	26	997	1	34753	34.858	4	9575	303399931	2.374
legacy	en-es	TSU-HITs	none	1	993	19	997	1	21272	21.336	4	6743	116854180	1.562
legacy	en-es	Unbabel-Tower70B	none	1	993	14	997	0	35099	35.205	4	9612	309678721	2.409
legacy	en-es	Aya23	none	1	993	40	997	9	34168	34.271	4	9454	293382822	2.34
legacy	en-es	CommandR-plus	none	1	993	21	997	2	34688	34.792	4	9536	302497218	2.397
legacy	en-es	ONLINE-W	none	1	993	0	997	0	33783	33.885	4	9321	286699427	2.303
legacy	en-es	ONLINE-B	none	1	993	32	997	8	33745	33.847	4	9323	286076045	2.35
legacy	en-es	Llama3-70B	none	1	993	66	997	32	34448	34.552	4	9348	297931336	2.388
legacy	en-es	ONLINE-A	none	1	993	27	997	1	34587	34.691	4	9542	300492815	2.373
legacy	en-es	ONLINE-G	none	1	993	1	997	0	34057	34.159	4	9302	291299341	2.296
legacy	en-es	Gemini-1.5-Pro	none	1	993	67	997	27	37588	37.701	4	12117	364703786	2.633
legacy	en-es	Mistral-Large	none	1	993	1	997	0	34991	35.096	4	9467	307694403	2.389
legacy	en-es	Claude-3.5	none	1	993	1	997	0	34799	34.904	4	9393	304080967	2.348
legacy	en-es	GPT-4	none	1	993	1	997	0	34305	34.408	4	9396	295590843	2.304
legacy	en-es	Phi-3-Medium	none	1	993	1	997	0	34344	34.447	4	9462	296404466	2.389
legacy	en-hi	CycleL	none	1	993	4	997	0	36430	36.54	4	10462	334258558	3.005
legacy	en-hi	IKUN	none	1	993	36	997	3	26625	26.705	4	9024	185012787	2.188
legacy	en-hi	IKUN-C	none	1	993	32	997	4	32854	32.953	4	9695	275112286	2.596
legacy	en-hi	IOL-Research	none	1	993	1	997	0	37430	37.543	4	9745	350605556	2.795
legacy	en-hi	NVIDIA-NeMo	none	1	993	1	997	0	37892	38.006	4	10094	359535600	2.828
legacy	en-hi	TranssionMT	none	1	993	15	997	0	38154	38.269	4	9936	364220402	2.897
legacy	en-hi	Unbabel-Tower70B	none	1	993	45	997	4	38849	38.966	4	10302	377832105	3.03
legacy	en-hi	Aya23	none	1	993	57	997	21	37267	37.379	4	9722	347564821	2.848
legacy	en-hi	CommandR-plus	none	1	993	23	997	1	38417	38.533	4	10218	369605777	2.984
