label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm32k	cs-uk	BJFU-LPT	spm32k	1	2311	1456	2316	965	24742	10.683	5	6254	128749056	12.538
spm32k	cs-uk	CUNI-Transformer	spm32k	1	2311	2109	2316	1947	28738	12.408	5	6854	169538818	13.486
spm32k	cs-uk	CycleL	spm32k	1	2311	282	2316	46	22513	9.721	5	6142	105763111	10.928
spm32k	cs-uk	IKUN	spm32k	1	2311	2103	2316	1933	28871	12.466	5	6855	171006579	13.62
spm32k	cs-uk	IKUN-C	spm32k	1	2311	2040	2316	1833	24802	10.709	5	6678	127648154	12.098
spm32k	cs-uk	IOL-Research	spm32k	1	2311	2100	2316	1927	28785	12.429	5	6831	169991221	13.713
spm32k	cs-uk	TranssionMT	spm32k	1	2311	2097	2316	1914	28543	12.324	5	6787	167309007	13.603
spm32k	cs-uk	Unbabel-Tower70B	spm32k	1	2311	2105	2316	1949	29942	12.928	5	7054	183685608	14.168
spm32k	cs-uk	Aya23	spm32k	1	2311	2104	2316	1933	29078	12.555	5	6874	173153986	13.724
spm32k	cs-uk	CommandR-plus	spm32k	1	2311	2096	2316	1916	29355	12.675	5	6996	176789167	14.397
spm32k	cs-uk	ONLINE-W	spm32k	1	2311	2092	2316	1915	29050	12.543	5	6939	173361180	14.37
spm32k	cs-uk	ONLINE-B	spm32k	1	2311	2099	2316	1922	28565	12.334	5	6789	167574371	13.707
spm32k	cs-uk	Llama3-70B	spm32k	1	2311	2098	2316	1919	28874	12.467	5	6902	171018514	13.698
spm32k	cs-uk	ONLINE-A	spm32k	1	2311	2033	2316	1813	29383	12.687	5	6942	177167997	13.95
spm32k	cs-uk	ONLINE-G	spm32k	1	2311	2039	2316	1822	29481	12.729	5	7022	178192527	14.084
spm32k	cs-uk	Gemini-1.5-Pro	spm32k	1	2311	2064	2316	1885	34431	14.867	5	10963	260032261	16.288
spm32k	cs-uk	Mistral-Large	spm32k	1	2311	2074	2316	1892	30563	13.196	5	7686	192684373	14.703
spm32k	cs-uk	Claude-3.5	spm32k	1	2311	2146	2316	2014	29655	12.804	5	6964	180282593	14.122
spm32k	cs-uk	GPT-4	spm32k	1	2311	2103	2316	1939	29339	12.668	5	6937	176308069	13.943
spm32k	cs-uk	Phi-3-Medium	spm32k	1	2311	1994	2316	1755	30439	13.143	5	7821	192392763	15.38
