label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm64k	cs-uk	BJFU-LPT	spm64k	1	2311	1473	2316	989	24742	10.683	5	6254	128749056	8.19
spm64k	cs-uk	CUNI-Transformer	spm64k	1	2311	2113	2316	1946	28738	12.408	5	6854	169538818	8.777
spm64k	cs-uk	CycleL	spm64k	1	2311	280	2316	27	22513	9.721	5	6142	105763111	7.882
spm64k	cs-uk	IKUN	spm64k	1	2311	2118	2316	1951	28871	12.466	5	6855	171006579	8.892
spm64k	cs-uk	IKUN-C	spm64k	1	2311	2066	2316	1862	24802	10.709	5	6678	127648154	7.863
spm64k	cs-uk	IOL-Research	spm64k	1	2311	2116	2316	1953	28785	12.429	5	6831	169991221	8.882
spm64k	cs-uk	TranssionMT	spm64k	1	2311	2101	2316	1938	28543	12.324	5	6787	167309007	8.863
spm64k	cs-uk	Unbabel-Tower70B	spm64k	1	2311	2116	2316	1951	29942	12.928	5	7054	183685608	9.215
spm64k	cs-uk	Aya23	spm64k	1	2311	2116	2316	1956	29078	12.555	5	6874	173153986	9.078
spm64k	cs-uk	CommandR-plus	spm64k	1	2311	2113	2316	1946	29355	12.675	5	6996	176789167	9.081
spm64k	cs-uk	ONLINE-W	spm64k	1	2311	2091	2316	1913	29050	12.543	5	6939	173361180	8.99
spm64k	cs-uk	ONLINE-B	spm64k	1	2311	2104	2316	1946	28565	12.334	5	6789	167574371	8.882
spm64k	cs-uk	Llama3-70B	spm64k	1	2311	2124	2316	1960	28874	12.467	5	6902	171018514	9.014
spm64k	cs-uk	ONLINE-A	spm64k	1	2311	2051	2316	1856	29383	12.687	5	6942	177167997	9.668
spm64k	cs-uk	ONLINE-G	spm64k	1	2311	2067	2316	1865	29481	12.729	5	7022	178192527	9.374
spm64k	cs-uk	Gemini-1.5-Pro	spm64k	1	2311	2075	2316	1904	34431	14.867	5	10963	260032261	10.798
spm64k	cs-uk	Mistral-Large	spm64k	1	2311	2084	2316	1898	30563	13.196	5	7686	192684373	9.482
spm64k	cs-uk	Claude-3.5	spm64k	1	2311	2139	2316	1994	29655	12.804	5	6964	180282593	9.089
spm64k	cs-uk	GPT-4	spm64k	1	2311	2115	2316	1964	29339	12.668	5	6937	176308069	8.99
spm64k	cs-uk	Phi-3-Medium	spm64k	1	2311	1961	2316	1702	30439	13.143	5	7821	192392763	9.499
spm64k	en-cs	CUNI-DocTransformer	spm64k	1	993	874	997	783	28138	28.223	4	7378	198199138	12.159
spm64k	en-cs	CUNI-GA	spm64k	1	993	803	997	656	28976	29.063	4	7829	210451926	12.328
spm64k	en-cs	CUNI-MH	spm64k	1	993	861	997	760	29298	29.386	4	7705	215185126	12.547
spm64k	en-cs	CUNI-Transformer	spm64k	1	993	882	997	793	27808	27.892	4	7317	193654510	11.971
spm64k	en-cs	CycleL	spm64k	1	993	235	997	69	28803	28.89	4	8719	210558891	13.523
spm64k	en-cs	CycleL2	spm64k	1	993	596	997	388	27860	27.944	4	7696	194811216	13.374
spm64k	en-cs	IKUN	spm64k	1	993	797	997	652	27884	27.968	4	7395	194785782	12.024
spm64k	en-cs	IKUN-C	spm64k	1	993	853	997	745	27267	27.349	4	7242	186214481	11.746
spm64k	en-cs	IOL-Research	spm64k	1	993	855	997	754	27875	27.959	4	7358	194620245	11.926
spm64k	en-cs	NVIDIA-NeMo	spm64k	1	993	807	997	667	28224	28.309	4	7739	199851298	11.765
spm64k	en-cs	SCIR-MT	spm64k	1	993	837	997	714	28283	28.368	4	7605	200597799	12.196
spm64k	en-cs	TranssionMT	spm64k	1	993	840	997	726	28649	28.735	4	7586	205572921	12.28
spm64k	en-cs	TSU-HITs	spm64k	1	993	337	997	133	18495	18.551	4	5445	86798859	8.518
spm64k	en-cs	Unbabel-Tower70B	spm64k	1	993	869	997	773	28678	28.764	4	7792	206349402	12.204
spm64k	en-cs	Aya23	spm64k	1	993	851	997	745	28132	28.217	4	7431	198277494	11.962
spm64k	en-cs	CommandR-plus	spm64k	1	993	869	997	772	28674	28.76	4	7639	206015932	12.171
spm64k	en-cs	ONLINE-W	spm64k	1	993	878	997	785	28259	28.344	4	7413	199994799	11.996
spm64k	en-cs	ONLINE-B	spm64k	1	993	889	997	801	27715	27.798	4	7287	192343073	11.894
spm64k	en-cs	Llama3-70B	spm64k	1	993	839	997	728	28244	28.329	4	7679	200037684	12.219
spm64k	en-cs	ONLINE-A	spm64k	1	993	836	997	717	28441	28.527	4	7479	202563267	11.945
spm64k	en-cs	ONLINE-G	spm64k	1	993	841	997	721	27595	27.678	4	7389	190843371	11.72
spm64k	en-cs	Gemini-1.5-Pro	spm64k	1	993	842	997	734	31991	32.087	4	10764	266259225	12.956
spm64k	en-cs	Mistral-Large	spm64k	1	993	857	997	756	29228	29.316	4	8123	214535490	12.252
spm64k	en-cs	Claude-3.5	spm64k	1	993	883	997	802	28343	28.428	4	7742	201613657	12.022
spm64k	en-cs	GPT-4	spm64k	1	993	854	997	748	28062	28.146	4	7491	197333990	11.958
spm64k	en-cs	Phi-3-Medium	spm64k	1	993	770	997	587	29860	29.95	4	8207	224426588	12.8
spm64k	en-de	AIST-AIRC	spm64k	1	993	841	997	717	31031	31.124	4	8132	240918625	7.47
spm64k	en-de	CUNI-NL	spm64k	1	993	811	997	686	29483	29.572	4	7911	217833675	6.993
spm64k	en-de	CycleL	spm64k	1	993	659	997	475	29189	29.277	4	8238	214205105	7.261
spm64k	en-de	CycleL2	spm64k	1	993	659	997	475	29189	29.277	4	8238	214205105	7.26
spm64k	en-de	Dubformer	spm64k	1	993	871	997	776	30908	31.001	4	8317	239291922	7.322
spm64k	en-de	IKUN	spm64k	1	993	832	997	708	31954	32.05	4	8475	255596858	7.438
spm64k	en-de	IKUN-C	spm64k	1	993	886	997	799	31741	31.837	4	8343	252139811	7.39
spm64k	en-de	IOL-Research	spm64k	1	993	865	997	770	32024	32.12	4	8435	256651446	7.424
spm64k	en-de	MSLC	spm64k	1	993	789	997	645	31581	31.676	4	8173	249455675	7.378
spm64k	en-de	NVIDIA-NeMo	spm64k	1	993	777	997	618	32163	32.26	4	8739	259278179	7.274
spm64k	en-de	Occiglot	spm64k	1	993	682	997	447	31337	31.431	4	9646	249909039	7.591
spm64k	en-de	TranssionMT	spm64k	1	993	892	997	803	31997	32.093	4	8581	256424027	7.485
spm64k	en-de	TSU-HITs	spm64k	1	993	613	997	399	22481	22.549	4	6031	126660015	5.779
spm64k	en-de	Unbabel-Tower70B	spm64k	1	993	886	997	795	32362	32.459	4	8766	262475290	7.547
spm64k	en-de	Aya23	spm64k	1	993	888	997	804	32438	32.536	4	8591	263389626	7.613
spm64k	en-de	CommandR-plus	spm64k	1	993	879	997	785	32878	32.977	4	8769	270661722	7.669
