langpair	variant	variant_label	metric	value
en-uk	spm128k	spm 128k	boundary_acc	86.17321248741189
en-uk	spm128k	spm 128k	seg_exact	76.08324974924774
en-zh	spm128k	spm 128k	boundary_acc	93.41581547019614
en-zh	spm128k	spm 128k	seg_exact	89.30123704446673
ja-zh	spm128k	spm 128k	boundary_acc	93.64396049632819
ja-zh	spm128k	spm 128k	seg_exact	89.25734459715042
cs-uk	spm256k	spm 256k	boundary_acc	85.75724794461271
cs-uk	spm256k	spm 256k	seg_exact	77.20423143350604
en-cs	spm256k	spm 256k	boundary_acc	81.87698504919048
en-cs	spm256k	spm 256k	seg_exact	70.31093279839519
en-de	spm256k	spm 256k	boundary_acc	84.27453714462779
en-de	spm256k	spm 256k	seg_exact	72.79530900393488
en-es	spm256k	spm 256k	boundary_acc	88.38828319978984
en-es	spm256k	spm 256k	seg_exact	80.38027124852819
en-hi	spm256k	spm 256k	boundary_acc	79.10372608257805
en-hi	spm256k	spm 256k	seg_exact	66.05371670567257
en-is	spm256k	spm 256k	boundary_acc	79.91201568876875
en-is	spm256k	spm 256k	seg_exact	67.06962994245896
en-ja	spm256k	spm 256k	boundary_acc	93.47169315644292
en-ja	spm256k	spm 256k	seg_exact	88.26915529196285
en-ru	spm256k	spm 256k	boundary_acc	79.09113796576032
en-ru	spm256k	spm 256k	seg_exact	66.76278836509529
en-uk	spm256k	spm 256k	boundary_acc	86.5558912386707
en-uk	spm256k	spm 256k	seg_exact	76.70511534603811
en-zh	spm256k	spm 256k	boundary_acc	92.18817436340095
en-zh	spm256k	spm 256k	seg_exact	87.17581315374696
ja-zh	spm256k	spm 256k	boundary_acc	91.7763990883768
ja-zh	spm256k	spm 256k	seg_exact	85.87819947043248
