langpair	system	metric	segmenter	manual	realigned	delta
en-cs	IKUN	bleu	none	31.1121	30.8644	-0.2478
en-cs	IKUN	chrfpp	none	48.9605	48.5990	-0.3615
en-cs	IKUN	bleu	flores200	31.1121	31.0372	-0.0750
en-cs	IKUN	chrfpp	flores200	48.9605	48.8390	-0.1215
en-cs	IKUN	bleu	spm32k	31.1121	31.0181	-0.0941
en-cs	IKUN	chrfpp	spm32k	48.9605	48.8099	-0.1506
en-cs	IKUN	bleu	spm64k	31.1121	31.0110	-0.1012
en-cs	IKUN	chrfpp	spm64k	48.9605	48.7944	-0.1660
en-cs	IKUN	bleu	spm128k	31.1121	31.0118	-0.1004
en-cs	IKUN	chrfpp	spm128k	48.9605	48.8004	-0.1601
en-cs	IKUN	bleu	spm256k	31.1121	31.0299	-0.0822
en-cs	IKUN	chrfpp	spm256k	48.9605	48.8164	-0.1441
en-cs	IKUN-C	bleu	none	28.3337	28.1080	-0.2258
en-cs	IKUN-C	chrfpp	none	46.6515	46.3268	-0.3247
en-cs	IKUN-C	bleu	flores200	28.3337	28.2517	-0.0821
en-cs	IKUN-C	chrfpp	flores200	46.6515	46.5383	-0.1132
en-cs	IKUN-C	bleu	spm32k	28.3337	28.2657	-0.0680
en-cs	IKUN-C	chrfpp	spm32k	46.6515	46.5208	-0.1307
en-cs	IKUN-C	bleu	spm64k	28.3337	28.2507	-0.0831
en-cs	IKUN-C	chrfpp	spm64k	46.6515	46.5029	-0.1486
en-cs	IKUN-C	bleu	spm128k	28.3337	28.2587	-0.0750
en-cs	IKUN-C	chrfpp	spm128k	46.6515	46.5234	-0.1281
en-cs	IKUN-C	bleu	spm256k	28.3337	28.2532	-0.0805
en-cs	IKUN-C	chrfpp	spm256k	46.6515	46.5054	-0.1461
en-cs	IOL-Research	bleu	none	35.7934	35.5789	-0.2145
en-cs	IOL-Research	chrfpp	none	53.1463	52.8595	-0.2868
en-cs	IOL-Research	bleu	flores200	35.7934	35.7375	-0.0560
en-cs	IOL-Research	chrfpp	flores200	53.1463	53.0564	-0.0899
en-cs	IOL-Research	bleu	spm32k	35.7934	35.7429	-0.0506
en-cs	IOL-Research	chrfpp	spm32k	53.1463	53.0544	-0.0919
en-cs	IOL-Research	bleu	spm64k	35.7934	35.7063	-0.0872
