langpair	system	metric	segmenter	manual	realigned	delta
en-de	IKUN-C	chrfpp	spm32k	56.3910	56.1929	-0.1981
en-de	IKUN-C	bleu	spm64k	43.0095	42.7849	-0.2247
en-de	IKUN-C	chrfpp	spm64k	56.3910	56.1874	-0.2036
en-de	IKUN-C	bleu	spm128k	43.0095	42.7855	-0.2241
en-de	IKUN-C	chrfpp	spm128k	56.3910	56.2048	-0.1862
en-de	IKUN-C	bleu	spm256k	43.0095	42.7260	-0.2835
en-de	IKUN-C	chrfpp	spm256k	56.3910	56.1701	-0.2209
en-de	IOL-Research	bleu	none	51.1284	50.7193	-0.4092
en-de	IOL-Research	chrfpp	none	61.5499	61.1137	-0.4362
en-de	IOL-Research	bleu	flores200	51.1284	50.9923	-0.1362
en-de	IOL-Research	chrfpp	flores200	61.5499	61.3788	-0.1711
en-de	IOL-Research	bleu	spm32k	51.1284	51.0013	-0.1271
en-de	IOL-Research	chrfpp	spm32k	61.5499	61.3955	-0.1543
en-de	IOL-Research	bleu	spm64k	51.1284	50.9405	-0.1879
en-de	IOL-Research	chrfpp	spm64k	61.5499	61.3639	-0.1860
en-de	IOL-Research	bleu	spm128k	51.1284	50.9371	-0.1914
en-de	IOL-Research	chrfpp	spm128k	61.5499	61.3524	-0.1974
en-de	IOL-Research	bleu	spm256k	51.1284	50.9656	-0.1629
en-de	IOL-Research	chrfpp	spm256k	61.5499	61.3579	-0.1920
en-de	MSLC	bleu	none	32.5618	32.1767	-0.3851
en-de	MSLC	chrfpp	none	49.5556	49.1129	-0.4428
en-de	MSLC	bleu	flores200	32.5618	32.5115	-0.0504
en-de	MSLC	chrfpp	flores200	49.5556	49.4344	-0.1213
en-de	MSLC	bleu	spm32k	32.5618	32.4432	-0.1186
en-de	MSLC	chrfpp	spm32k	49.5556	49.3749	-0.1807
en-de	MSLC	bleu	spm64k	32.5618	32.4448	-0.1170
en-de	MSLC	chrfpp	spm64k	49.5556	49.4181	-0.1375
en-de	MSLC	bleu	spm128k	32.5618	32.4279	-0.1339
en-de	MSLC	chrfpp	spm128k	49.5556	49.4057	-0.1500
en-de	MSLC	bleu	spm256k	32.5618	32.4679	-0.0939
en-de	MSLC	chrfpp	spm256k	49.5556	49.4221	-0.1335
en-de	NVIDIA-NeMo	bleu	none	42.0133	41.3837	-0.6296
en-de	NVIDIA-NeMo	chrfpp	none	56.5705	55.7964	-0.7741
en-de	NVIDIA-NeMo	bleu	flores200	42.0133	41.8885	-0.1249
en-de	NVIDIA-NeMo	chrfpp	flores200	56.5705	56.3582	-0.2123
en-de	NVIDIA-NeMo	bleu	spm32k	42.0133	41.8358	-0.1775
en-de	NVIDIA-NeMo	chrfpp	spm32k	56.5705	56.3363	-0.2342
en-de	NVIDIA-NeMo	bleu	spm64k	42.0133	41.8253	-0.1881
en-de	NVIDIA-NeMo	chrfpp	spm64k	56.5705	56.3325	-0.2380
en-de	NVIDIA-NeMo	bleu	spm128k	42.0133	41.8207	-0.1926
en-de	NVIDIA-NeMo	chrfpp	spm128k	56.5705	56.3155	-0.2551
en-de	NVIDIA-NeMo	bleu	spm256k	42.0133	41.8444	-0.1689
en-de	NVIDIA-NeMo	chrfpp	spm256k	56.5705	56.3207	-0.2499
en-de	Occiglot	bleu	none	35.9447	34.6287	-1.3160
en-de	Occiglot	chrfpp	none	49.5442	48.6716	-0.8726
