langpair	system	metric	segmenter	manual	realigned	delta
cs-uk	TranssionMT	bleu	none	40.8298	40.6279	-0.2019
cs-uk	TranssionMT	chrfpp	none	56.7854	56.4724	-0.3131
cs-uk	TranssionMT	bleu	flores200	40.8298	40.7488	-0.0810
cs-uk	TranssionMT	chrfpp	flores200	56.7854	56.6179	-0.1675
cs-uk	TranssionMT	bleu	spm32k	40.8298	40.7482	-0.0816
cs-uk	TranssionMT	chrfpp	spm32k	56.7854	56.6294	-0.1561
cs-uk	TranssionMT	bleu	spm64k	40.8298	40.7268	-0.1030
cs-uk	TranssionMT	chrfpp	spm64k	56.7854	56.6265	-0.1589
cs-uk	TranssionMT	bleu	spm128k	40.8298	40.7318	-0.0980
cs-uk	TranssionMT	chrfpp	spm128k	56.7854	56.6189	-0.1665
cs-uk	TranssionMT	bleu	spm256k	40.8298	40.7354	-0.0944
cs-uk	TranssionMT	chrfpp	spm256k	56.7854	56.6190	-0.1665
cs-uk	Unbabel-Tower70B	bleu	none	38.7614	38.5942	-0.1672
cs-uk	Unbabel-Tower70B	chrfpp	none	56.0422	55.7237	-0.3185
cs-uk	Unbabel-Tower70B	bleu	flores200	38.7614	38.6879	-0.0735
cs-uk	Unbabel-Tower70B	chrfpp	flores200	56.0422	55.8952	-0.1470
cs-uk	Unbabel-Tower70B	bleu	spm32k	38.7614	38.6705	-0.0910
cs-uk	Unbabel-Tower70B	chrfpp	spm32k	56.0422	55.9142	-0.1280
cs-uk	Unbabel-Tower70B	bleu	spm64k	38.7614	38.6716	-0.0898
cs-uk	Unbabel-Tower70B	chrfpp	spm64k	56.0422	55.8842	-0.1580
cs-uk	Unbabel-Tower70B	bleu	spm128k	38.7614	38.6715	-0.0899
cs-uk	Unbabel-Tower70B	chrfpp	spm128k	56.0422	55.8848	-0.1574
cs-uk	Unbabel-Tower70B	bleu	spm256k	38.7614	38.6696	-0.0919
cs-uk	Unbabel-Tower70B	chrfpp	spm256k	56.0422	55.8904	-0.1518
cs-uk	Aya23	bleu	none	37.0538	36.8455	-0.2083
cs-uk	Aya23	chrfpp	none	54.6135	54.2602	-0.3533
cs-uk	Aya23	bleu	flores200	37.0538	36.9830	-0.0708
cs-uk	Aya23	chrfpp	flores200	54.6135	54.4649	-0.1487
cs-uk	Aya23	bleu	spm32k	37.0538	37.0012	-0.0525
cs-uk	Aya23	chrfpp	spm32k	54.6135	54.4989	-0.1146
cs-uk	Aya23	bleu	spm64k	37.0538	36.9893	-0.0645
