langpair	system	metric	segmenter	manual	realigned	delta
en-ru	IOL-Research	bleu	spm32k	30.2035	30.1187	-0.0849
en-ru	IOL-Research	chrfpp	spm32k	48.7193	48.6069	-0.1124
en-ru	IOL-Research	bleu	spm64k	30.2035	30.1280	-0.0756
en-ru	IOL-Research	chrfpp	spm64k	48.7193	48.6107	-0.1087
en-ru	IOL-Research	bleu	spm128k	30.2035	30.1314	-0.0722
en-ru	IOL-Research	chrfpp	spm128k	48.7193	48.5938	-0.1256
en-ru	IOL-Research	bleu	spm256k	30.2035	30.1283	-0.0752
en-ru	IOL-Research	chrfpp	spm256k	48.7193	48.6110	-0.1083
en-ru	NVIDIA-NeMo	bleu	none	25.1480	24.7086	-0.4393
en-ru	NVIDIA-NeMo	chrfpp	none	44.9305	44.1994	-0.7311
en-ru	NVIDIA-NeMo	bleu	flores200	25.1480	25.0609	-0.0870
en-ru	NVIDIA-NeMo	chrfpp	flores200	44.9305	44.7515	-0.1790
en-ru	NVIDIA-NeMo	bleu	spm32k	25.1480	25.0601	-0.0878
en-ru	NVIDIA-NeMo	chrfpp	spm32k	44.9305	44.7710	-0.1594
en-ru	NVIDIA-NeMo	bleu	spm64k	25.1480	25.0374	-0.1105
en-ru	NVIDIA-NeMo	chrfpp	spm64k	44.9305	44.7323	-0.1982
en-ru	NVIDIA-NeMo	bleu	spm128k	25.1480	25.0384	-0.1096
en-ru	NVIDIA-NeMo	chrfpp	spm128k	44.9305	44.7210	-0.2095
en-ru	NVIDIA-NeMo	bleu	spm256k	25.1480	25.0282	-0.1198
en-ru	NVIDIA-NeMo	chrfpp	spm256k	44.9305	44.7405	-0.1900
en-ru	TranssionMT	bleu	none	31.9932	31.6670	-0.3262
en-ru	TranssionMT	chrfpp	none	50.1018	49.6954	-0.4065
en-ru	TranssionMT	bleu	flores200	31.9932	31.9476	-0.0456
en-ru	TranssionMT	chrfpp	flores200	50.1018	50.0611	-0.0407
en-ru	TranssionMT	bleu	spm32k	31.9932	31.9474	-0.0458
en-ru	TranssionMT	chrfpp	spm32k	50.1018	50.0418	-0.0600
en-ru	TranssionMT	bleu	spm64k	31.9932	31.9556	-0.0377
en-ru	TranssionMT	chrfpp	spm64k	50.1018	50.0336	-0.0682
en-ru	TranssionMT	bleu	spm128k	31.9932	31.9312	-0.0620
en-ru	TranssionMT	chrfpp	spm128k	50.1018	50.0024	-0.0995
en-ru	TranssionMT	bleu	spm256k	31.9932	31.9272	-0.0660
en-ru	TranssionMT	chrfpp	spm256k	50.1018	50.0059	-0.0959
en-ru	TSU-HITs	bleu	none	14.0542	12.9757	-1.0785
en-ru	TSU-HITs	chrfpp	none	30.8213	29.6969	-1.1244
en-ru	TSU-HITs	bleu	flores200	14.0542	13.6447	-0.4095
en-ru	TSU-HITs	chrfpp	flores200	30.8213	30.4113	-0.4100
en-ru	TSU-HITs	bleu	spm32k	14.0542	13.5528	-0.5014
en-ru	TSU-HITs	chrfpp	spm32k	30.8213	30.3661	-0.4552
en-ru	TSU-HITs	bleu	spm64k	14.0542	13.5874	-0.4668
en-ru	TSU-HITs	chrfpp	spm64k	30.8213	30.3487	-0.4726
en-ru	TSU-HITs	bleu	spm128k	14.0542	13.6076	-0.4465
en-ru	TSU-HITs	chrfpp	spm128k	30.8213	30.3605	-0.4607
en-ru	TSU-HITs	bleu	spm256k	14.0542	13.5041	-0.5500
en-ru	TSU-HITs	chrfpp	spm256k	30.8213	30.2391	-0.5822
en-ru	Unbabel-Tower70B	bleu	none	28.3229	28.0798	-0.2431
en-ru	Unbabel-Tower70B	chrfpp	none	47.5642	47.2263	-0.3379
en-ru	Unbabel-Tower70B	bleu	flores200	28.3229	28.2700	-0.0529
en-ru	Unbabel-Tower70B	chrfpp	flores200	47.5642	47.4793	-0.0849
en-ru	Unbabel-Tower70B	bleu	spm32k	28.3229	28.2617	-0.0612
en-ru	Unbabel-Tower70B	chrfpp	spm32k	47.5642	47.4693	-0.0949
en-ru	Unbabel-Tower70B	bleu	spm64k	28.3229	28.2821	-0.0408
en-ru	Unbabel-Tower70B	chrfpp	spm64k	47.5642	47.4782	-0.0860
en-ru	Unbabel-Tower70B	bleu	spm128k	28.3229	28.2461	-0.0768
en-ru	Unbabel-Tower70B	chrfpp	spm128k	47.5642	47.4152	-0.1490
en-ru	Unbabel-Tower70B	bleu	spm256k	28.3229	28.2668	-0.0561
en-ru	Unbabel-Tower70B	chrfpp	spm256k	47.5642	47.4611	-0.1031
en-ru	Yandex	bleu	none	30.5876	30.3183	-0.2693
en-ru	Yandex	chrfpp	none	49.3204	48.8628	-0.4576
en-ru	Yandex	bleu	flores200	30.5876	30.5010	-0.0866
en-ru	Yandex	chrfpp	flores200	49.3204	49.2003	-0.1201
en-ru	Yandex	bleu	spm32k	30.5876	30.5141	-0.0735
en-ru	Yandex	chrfpp	spm32k	49.3204	49.1849	-0.1355
en-ru	Yandex	bleu	spm64k	30.5876	30.4953	-0.0923
en-ru	Yandex	chrfpp	spm64k	49.3204	49.1713	-0.1491
en-ru	Yandex	bleu	spm128k	30.5876	30.4937	-0.0940
en-ru	Yandex	chrfpp	spm128k	49.3204	49.1817	-0.1386
en-ru	Yandex	bleu	spm256k	30.5876	30.4978	-0.0898
en-ru	Yandex	chrfpp	spm256k	49.3204	49.1749	-0.1455
en-ru	Aya23	bleu	none	28.4264	28.2220	-0.2045
en-ru	Aya23	chrfpp	none	47.5669	47.2116	-0.3552
en-ru	Aya23	bleu	flores200	28.4264	28.3449	-0.0815
en-ru	Aya23	chrfpp	flores200	47.5669	47.4225	-0.1444
en-ru	Aya23	bleu	spm32k	28.4264	28.3348	-0.0916
en-ru	Aya23	chrfpp	spm32k	47.5669	47.4445	-0.1224
en-ru	Aya23	bleu	spm64k	28.4264	28.3460	-0.0804
en-ru	Aya23	chrfpp	spm64k	47.5669	47.4309	-0.1360
en-ru	Aya23	bleu	spm128k	28.4264	28.3420	-0.0844
